Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Damian Lillard,24,82,82,35.7,7.2,16.6,.434,2.4,7.0,.343,4.8,9.6,.500,.506,4.2,4.9,.864,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0,21.0
2,LaMarcus Aldridge,29,71,71,35.4,9.3,19.9,.466,0.5,1.5,.352,8.8,18.5,.475,.479,4.3,5.1,.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4
3,Wesley Matthews,28,60,60,33.7,5.6,12.5,.448,2.9,7.4,.389,2.7,5.1,.534,.563,1.8,2.4,.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9
4,Nicolas Batum,26,71,71,33.5,3.4,8.5,.400,1.4,4.4,.324,2.0,4.1,.481,.483,1.2,1.4,.857,0.9,5.0,5.9,4.8,1.1,0.6,1.9,1.5,9.4
5,Arron Afflalo,29,25,19,30.1,3.8,9.1,.414,1.4,3.6,.400,2.3,5.5,.423,.493,1.6,1.9,.851,0.2,2.4,2.7,1.1,0.4,0.1,1.3,2.4,10.6
6,Robin Lopez,26,59,59,27.8,4.0,7.4,.535,0.0,0.0,.000,4.0,7.4,.537,.535,1.7,2.2,.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6
7,Steve Blake,34,81,0,18.9,1.5,4.0,.373,1.0,2.7,.352,0.6,1.3,.417,.491,0.4,0.5,.707,0.2,1.5,1.7,3.6,0.5,0.1,1.3,1.5,4.3
8,Chris Kaman,32,74,13,18.9,3.8,7.4,.515,0.0,0.0,,3.8,7.4,.515,.515,1.0,1.4,.706,2.0,4.5,6.5,0.9,0.2,0.7,1.5,1.9,8.6
9,C.J. McCollum,23,62,3,15.7,2.6,5.9,.436,0.9,2.2,.396,1.7,3.6,.460,.511,0.8,1.2,.699,0.2,1.2,1.5,1.0,0.7,0.1,0.8,1.3,6.8
10,Meyers Leonard,22,55,7,15.4,2.3,4.5,.510,0.9,2.0,.420,1.4,2.4,.586,.606,0.5,0.6,.938,0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9
11,Tim Frazier,24,5,0,13.6,1.6,3.6,.444,0.4,1.2,.333,1.2,2.4,.500,.500,1.0,1.2,.833,0.4,1.4,1.8,3.4,0.4,0.0,1.4,2.0,4.6
12,Allen Crabbe,22,51,9,13.4,1.2,3.0,.412,0.6,1.7,.353,0.6,1.3,.485,.510,0.2,0.3,.750,0.1,1.3,1.4,0.8,0.4,0.3,0.3,1.5,3.3
13,Joel Freeland,27,48,8,12.9,1.5,3.1,.490,0.0,0.0,,1.5,3.1,.490,.490,0.4,0.5,.840,1.3,2.7,4.0,0.3,0.2,0.5,0.5,1.9,3.5
14,Dorell Wright,29,48,2,12.3,1.5,4.0,.379,0.9,2.3,.380,0.6,1.7,.378,.487,0.7,0.9,.810,0.3,2.0,2.3,0.9,0.4,0.2,0.4,1.1,4.6
15,Thomas Robinson,23,32,4,12.2,1.5,2.8,.516,0.0,0.0,,1.5,2.8,.516,.516,0.7,1.5,.438,1.0,3.1,4.2,0.3,0.5,0.3,1.0,1.7,3.6
16,Alonzo Gee,27,15,2,10.1,1.4,3.3,.429,0.2,0.7,.273,1.2,2.5,.474,.459,0.4,0.8,.500,0.5,1.1,1.6,0.4,0.5,0.1,0.5,1.1,3.4
17,Will Barton,24,30,0,10.0,1.3,3.3,.380,0.1,0.6,.222,1.1,2.7,.415,.400,0.3,0.5,.667,0.1,1.0,1.1,0.9,0.5,0.1,0.6,0.7,3.0
18,Victor Claver,26,10,0,7.6,0.9,2.0,.450,0.6,1.1,.545,0.3,0.9,.333,.600,0.0,0.0,,0.3,1.7,2.0,0.1,0.1,0.1,0.4,1.2,2.4
